Data,Area_m2,Area_smooth
2018-06-01,1713292.2284203002,1789074.6560807484
2018-12-01,1442661.89347148,1240505.8651341717
2019-06-01,880518.5488834901,1007037.2360589823
2019-12-01,996708.3815048801,996545.3629670951
2020-06-01,990706.0389436102,1073654.21812999
2020-09-01,1477899.9805992402,1267713.6590906084
2020-10-01,1305977.3702796702,1449648.8680009767
2020-11-01,1455008.9175233701,1460886.279205672
2020-12-01,1548764.13897469,1248189.4722151388
2021-01-01,960831.2617090001,1226504.7463188833
2021-02-01,984840.6319540801,1159503.0404987028
2021-03-01,1520532.58860096,1214530.4913233966
2021-04-01,1242758.78132637,1385423.9112744126
2021-05-01,1448527.30046101,1356753.2976389132
2021-06-01,1317365.8453293801,1303859.2160787084
2021-07-01,1202362.78766307,1402188.7377002956
2021-08-01,1603812.2388141702,1453485.2375902007
2021-09-01,1622252.8958084902,1654871.8184291609
2021-10-01,1612233.7764761802,1656836.7352046045
2021-11-01,1771467.02381451,1492837.912611672
2021-12-01,1093247.95958158,1399192.4569757944
2022-01-01,1270419.76681785,1275016.889583408
2022-02-01,1376978.46422686,1197292.9111379352
2022-03-01,1122072.8974328502,1243614.0852546198
2022-04-01,1197547.22005688,1151958.54256998
2022-05-01,1090052.79624098,1089279.0015816246
2022-06-01,1040345.1836993601,1070294.949461352
2022-07-01,1087793.35930727,1105358.0633585555
2022-08-01,1029253.4023884201,1025940.865700615
2022-09-01,1154777.6764834202,949711.2238515113
2022-10-01,579511.3396036801,870686.3574745083
2022-11-01,897452.9145886701,815202.4547440144
2022-12-01,833572.4703719601,715602.4753179506
2023-01-01,749220.15818012,801190.4680262064
2023-02-01,647454.2057820101,782459.6380346278
2023-03-01,1029367.5153648701,900338.3427074777
2023-04-01,963569.9731438,1029883.7407345255
2023-05-01,1184287.2921933902,1079518.5383292679
2023-06-01,1048994.94731427,1068564.7793803199
2023-07-01,995133.6224298701,1164425.1135495794
2023-08-01,1237053.1325038702,1123720.4714547384
2023-09-01,1261382.01908301,1086455.520507176
2023-10-01,819582.21945919,1025907.175202806
2023-11-01,918746.3959942401,948375.5586319203
2023-12-01,998785.2376762701,921905.6952565277
2024-01-01,995521.6065498001,1000346.9552682579
2024-02-01,861073.6976964101,854679.023854203
2024-03-01,818144.3959559201,686343.9081561705
2024-04-01,346013.36719169,571710.3591755081
2024-05-01,579077.7102931701,539635.9184710428
2024-06-01,641269.28245842,549868.0486927261
2024-07-01,657747.1962578001,692276.6961413187
2024-08-01,675206.4816546501,770696.2203480105
2024-09-01,894988.0742973501,796881.344677404
2024-10-01,847722.4794517601,758919.7611783706
2024-11-01,583528.11637472,698871.3393898767
2024-12-01,554634.7107375801,610034.9306186775
2025-01-01,620934.3500550301,522275.5309871161
2025-02-01,509948.0691597601,471042.0649318218
2025-03-01,290759.8639946,387445.07196505554
2025-04-01,346834.98062213004,309755.3274125173
2025-05-01,342635.62308877,307634.45623592456
2025-06-01,410555.66667181003,430637.9203416307
